time (ms),signal in,signal out,frequency (Hz),spectrum
5.97917,0.848377,1.21444,13500,0.0250672,
6,0.855951,1.24341,13546.9,0.0255058,
6.02083,0.862938,1.27153,13593.8,0.0249451,
6.04167,0.869333,1.29878,13640.6,0.0253757,
6.0625,0.875133,1.32513,13687.5,0.0248241,
6.08333,0.880333,1.35058,13734.4,0.0252475,
6.10417,0.884929,1.3751,13781.2,0.0247062,
6.125,0.88892,1.39868,13828.1,0.0251222,
6.14583,0.8923,1.42131,13875,0.0245899,
6.16667,0.89507,1.44295,13921.9,0.0249989,
6.1875,0.897226,1.46361,13968.8,0.0244756,
6.20833,0.898767,1.48327,14015.6,0.0248777,
6.22917,0.899692,1.50191,14062.5,0.0243638,
6.25,0.9,1.51952,14109.4,0.0247584,
6.27083,0.899692,1.53609,14156.2,0.0242533,
6.29167,0.898767,1.5516,14203.1,0.0246412,
6.3125,0.897226,1.56606,14250,0.0241449,
6.33333,0.89507,1.57943,14296.9,0.0245261,
6.35417,0.8923,1.59173,14343.8,0.0240383,
6.375,0.888919,1.60294,14390.6,0.0244132,
6.39583,0.884929,1.61304,14437.5,0.0239336,
6.41667,0.880333,1.62205,14484.4,0.0243019,
6.4375,0.875133,1.62994,14531.2,0.0238307,
6.45833,0.869333,1.63671,14578.1,0.0241929,
6.47917,0.862938,1.64236,14625,0.0237295,
6.5,0.855951,1.64689,14671.9,0.0240853,
6.52083,0.848377,1.65028,14718.8,0.0236299,
6.54167,0.840222,1.65255,14765.6,0.0239795,
6.5625,0.831491,1.65368,14812.5,0.0235327,
6.58333,0.822191,1.65368,14859.4,0.0238749,
6.60417,0.812327,1.65255,14906.2,0.0234366,
6.625,0.801906,1.65028,14953.1,0.0237742,
6.64583,0.790935,1.64689,15000,0.0233419,
6.66667,0.779423,1.64236,15046.9,0.0236738,
6.6875,0.767376,1.63671,15093.8,0.0232496,
6.70833,0.754804,1.62994,15140.6,0.0235754,
6.72917,0.741713,1.62205,15187.5,0.0231581,
6.75,0.728115,1.61304,15234.4,0.0234795,
6.77083,0.714018,1.60294,15281.2,0.0230692,
6.79167,0.699431,1.59173,15328.1,0.0233842,
6.8125,0.684365,1.57943,15375,0.0229803,
6.83333,0.66883,1.56606,15421.9,0.0232902,
6.85417,0.652837,1.5516,15468.8,0.0228941,
6.875,0.636396,1.53609,15515.6,0.0231989,
6.89583,0.619519,1.51952,15562.5,0.0228094,
6.91667,0.602217,1.50191,15609.4,0.0231085,
6.9375,0.584503,1.48327,15656.2,0.0227259,
6.95833,0.566388,1.46361,15703.1,0.0230193,
6.97917,0.547885,1.44295,15750,0.0226438,
7,0.529007,1.42131,15796.9,0.022932,
7.02083,0.509766,1.39869,15843.8,0.0225631,
7.04167,0.490175,1.3751,15890.6,0.0228468,
7.0625,0.470249,1.35058,15937.5,0.0224838,
7.08333,0.45,1.32513,15984.4,0.0227626,
7.10417,0.429443,1.29878,16031.2,0.0224062,
7.125,0.408592,1.27153,16078.1,0.0226799,
7.14583,0.38746,1.24341,16125,0.0223303,
7.16667,0.366063,1.21444,16171.9,0.0225984,
7.1875,0.344415,1.18464,16218.8,0.0222548,
7.20833,0.322531,1.15402,16265.6,0.0225167,
7.22917,0.300426,1.12262,16312.5,0.0221795,
7.25,0.278115,1.09044,16359.4,0.0224402,
7.27083,0.255614,1.05752,16406.2,0.0221094,
7.29167,0.232937,1.02387,16453.1,0.0223637,
7.3125,0.210101,0.989524,16500,0.0220371,
7.33333,0.18712,0.954497,16546.9,0.0222883,
7.35417,0.164011,0.918815,16593.8,0.0219677,
7.375,0.140791,0.882504,16640.6,0.0222139,
7.39583,0.117473,0.845589,16687.5,0.0219006,
7.41667,0.0940751,0.808093,16734.4,0.0221418,
7.4375,0.0706132,0.770045,16781.2,0.0218325,
7.45833,0.0471021,0.731468,16828.1,0.0220693,
7.47917,0.0235587,0.692389,16875,0.0217659,
7.5,-2.14648e-08,0.652837,16921.9,0.0219981,
7.52083,-0.0235596,0.612837,16968.8,0.0217011,
7.54167,-0.047103,0.572416,17015.6,0.021929,
7.5625,-0.0706132,0.531604,17062.5,0.0216372,
7.58333,-0.094076,0.490427,17109.4,0.0218616,
7.60417,-0.117474,0.448914,17156.2,0.0215746,
7.625,-0.140791,0.407094,17203.1,0.0217951,
7.64583,-0.164012,0.364994,17250,0.0215132,
7.66667,-0.187121,0.322644,17296.9,0.0217297,
7.6875,-0.210101,0.280074,17343.8,0.0214535,
7.70833,-0.232938,0.237311,17390.6,0.0216654,
7.72917,-0.255614,0.194386,17437.5,0.0213945,
7.75,-0.278115,0.151328,17484.4,0.0216021,
7.77083,-0.300427,0.108165,17531.2,0.0213363,
7.79167,-0.322531,0.0649292,17578.1,0.0215403,
7.8125,-0.344415,0.0216478,17625,0.0212796,
7.83333,-0.366063,-0.0216482,17671.9,0.0214798,
7.85417,-0.38746,-0.0649287,17718.8,0.021224,
7.875,-0.408592,-0.108165,17765.6,0.0214204,
7.89583,-0.429443,-0.151328,17812.5,0.0211693,
7.91667,-0.45,-0.194386,17859.4,0.0213623,
7.9375,-0.470249,-0.237312,17906.2,0.0211154,
7.95833,-0.490176,-0.280075,17953.1,0.0213045,
7.97917,-0.509766,-0.322645,18000,0.0210632,
8,-0.529007,-0.364995,18046.9,0.0212483,
8.02083,-0.547886,-0.407094,18093.8,0.021012,
8.04167,-0.566388,-0.448915,18140.6,0.0211937,
8.0625,-0.584503,-0.490428,18187.5,0.020961,
8.08333,-0.602218,-0.531604,18234.4,0.0211389,
8.10417,-0.619519,-0.572417,18281.2,0.0209119,
8.125,-0.636396,-0.612837,18328.1,0.0210864,
8.14583,-0.652837,-0.652837,18375,0.0208636,
8.16667,-0.66883,-0.69239,18421.9,0.0210343,
8.1875,-0.684366,-0.731468,18468.8,0.0208164,
8.20833,-0.699432,-0.770045,18515.6,0.0209836,
8.22917,-0.714018,-0.808094,18562.5,0.02077,
8.25,-0.728115,-0.845589,18609.4,0.020934,
8.27083,-0.741714,-0.882505,18656.2,0.0207245,
8.29167,-0.754804,-0.918815,18703.1,0.0208851,
8.3125,-0.767376,-0.954497,18750,0.0206803,
8.33333,-0.779423,-0.989523,18796.9,0.0208374,
8.35417,-0.790935,-1.02387,18843.8,0.0206369,
8.375,-0.801906,-1.05752,18890.6,0.0207907,
8.39583,-0.812327,-1.09044,18937.5,0.0205944,
8.41667,-0.822191,-1.12262,18984.4,0.0207445,
8.4375,-0.831492,-1.15402,19031.2,0.0205527,
8.45833,-0.840222,-1.18464,19078.1,0.0206998,
8.47917,-0.848377,-1.21444,19125,0.0205124,
8.5,-0.855951,-1.24341,19171.9,0.020656,
8.52083,-0.862938,-1.27153,19218.8,0.0204727,
8.54167,-0.869333,-1.29878,19265.6,0.0206128,
8.5625,-0.875133,-1.32513,19312.5,0.0204338,
8.58333,-0.880333,-1.35058,19359.4,0.0205712,
8.60417,-0.884929,-1.3751,19406.2,0.0203961,
8.625,-0.88892,-1.39868,19453.1,0.0205303,
8.64583,-0.8923,-1.42131,19500,0.0203591,
