Frequency (Hz),Ne10 MDCT f32 spectrum,FFTW3 f32 spectrum,Ref MDCT spectrum
8156.25,0.037739,0.0377391,0.0377409
8203.12,0.0391131,0.0391131,0.0391253
8250,0.0373614,0.0373614,0.0373803
8296.88,0.0387018,0.0387018,0.0387081
8343.75,0.0369922,0.0369922,0.0369997
8390.62,0.0383002,0.0383003,0.0383289
8437.5,0.0366295,0.0366296,0.0366274
8484.38,0.0379118,0.0379119,0.0379323
8531.25,0.0362803,0.0362803,0.0362396
8578.12,0.0375278,0.0375279,0.0375264
8625,0.0359353,0.0359353,0.0359335
8671.88,0.0371552,0.0371552,0.0371793
8718.75,0.0355989,0.0355989,0.0356038
8765.62,0.036791,0.036791,0.036797
8812.5,0.0352703,0.0352703,0.0352646
8859.38,0.0364352,0.0364351,0.0364298
8906.25,0.0349486,0.0349488,0.0349395
8953.12,0.036087,0.036087,0.0360848
9000,0.0346343,0.0346343,0.0346409
9046.88,0.035747,0.035747,0.0357475
9093.75,0.0343267,0.0343267,0.0343274
9140.62,0.0354152,0.035415,0.0354283
9187.5,0.0340257,0.0340257,0.0340248
9234.38,0.0350907,0.0350908,0.0350843
9281.25,0.0337315,0.0337315,0.0337291
9328.12,0.0347729,0.0347729,0.0347753
9375,0.0334435,0.0334435,0.033433
9421.88,0.0344623,0.0344623,0.034461
9468.75,0.0331616,0.0331615,0.0331597
9515.62,0.0341589,0.0341589,0.0341544
9562.5,0.0328863,0.0328859,0.0328817
9609.38,0.033861,0.033861,0.0338493
9656.25,0.032615,0.032615,0.032606
9703.12,0.0335706,0.0335706,0.0335786
9750,0.0323509,0.0323508,0.0323276
9796.88,0.0332859,0.0332859,0.0332886
9843.75,0.0320915,0.0320915,0.0320761
9890.62,0.033007,0.033007,0.0330118
9937.5,0.0318374,0.0318374,0.0318298
9984.38,0.0327341,0.0327345,0.0327416
10031.2,0.031589,0.031589,0.0315952
10078.1,0.0324673,0.0324673,0.0324712
10125,0.0313453,0.0313453,0.0313751
10171.9,0.0322058,0.0322058,0.0322176
10218.8,0.0311067,0.0311067,0.0311118
10265.6,0.0319497,0.0319497,0.0319496
10312.5,0.0308723,0.0308725,0.030877
10359.4,0.0316986,0.0316987,0.0316994
10406.2,0.0306433,0.0306433,0.0306553
10453.1,0.0314527,0.0314527,0.031464
10500,0.0304184,0.0304184,0.0304169
